[epoch 1] train_loss: 1.649  val_accuracy: 0.481
[epoch 2] train_loss: 1.331  val_accuracy: 0.540
[epoch 3] train_loss: 1.170  val_accuracy: 0.578
[epoch 4] train_loss: 1.051  val_accuracy: 0.611
[epoch 5] train_loss: 0.937  val_accuracy: 0.613
[epoch 6] train_loss: 0.843  val_accuracy: 0.632
[epoch 7] train_loss: 0.757  val_accuracy: 0.647
[epoch 8] train_loss: 0.669  val_accuracy: 0.648
[epoch 9] train_loss: 0.594  val_accuracy: 0.653
[epoch 10] train_loss: 0.530  val_accuracy: 0.654
[epoch 11] train_loss: 0.466  val_accuracy: 0.657
[epoch 12] train_loss: 0.412  val_accuracy: 0.659
[epoch 13] train_loss: 0.367  val_accuracy: 0.665
[epoch 14] train_loss: 0.323  val_accuracy: 0.660
[epoch 15] train_loss: 0.293  val_accuracy: 0.663
[epoch 16] train_loss: 0.263  val_accuracy: 0.668
[epoch 17] train_loss: 0.241  val_accuracy: 0.675
[epoch 18] train_loss: 0.226  val_accuracy: 0.664
[epoch 19] train_loss: 0.208  val_accuracy: 0.659
[epoch 20] train_loss: 0.196  val_accuracy: 0.670
[epoch 21] train_loss: 0.184  val_accuracy: 0.666
[epoch 22] train_loss: 0.170  val_accuracy: 0.667
[epoch 23] train_loss: 0.163  val_accuracy: 0.662
[epoch 24] train_loss: 0.156  val_accuracy: 0.674
[epoch 25] train_loss: 0.141  val_accuracy: 0.671
[epoch 26] train_loss: 0.141  val_accuracy: 0.675
[epoch 27] train_loss: 0.137  val_accuracy: 0.661
[epoch 28] train_loss: 0.127  val_accuracy: 0.671
[epoch 29] train_loss: 0.127  val_accuracy: 0.680
[epoch 30] train_loss: 0.120  val_accuracy: 0.678
[epoch 31] train_loss: 0.119  val_accuracy: 0.666
[epoch 32] train_loss: 0.109  val_accuracy: 0.681
[epoch 33] train_loss: 0.110  val_accuracy: 0.680
[epoch 34] train_loss: 0.104  val_accuracy: 0.680
[epoch 35] train_loss: 0.098  val_accuracy: 0.678
[epoch 36] train_loss: 0.100  val_accuracy: 0.683
[epoch 37] train_loss: 0.097  val_accuracy: 0.677
[epoch 38] train_loss: 0.094  val_accuracy: 0.681
[epoch 39] train_loss: 0.092  val_accuracy: 0.677
[epoch 40] train_loss: 0.088  val_accuracy: 0.687
[epoch 41] train_loss: 0.086  val_accuracy: 0.680
[epoch 42] train_loss: 0.084  val_accuracy: 0.681
[epoch 43] train_loss: 0.080  val_accuracy: 0.685
[epoch 44] train_loss: 0.080  val_accuracy: 0.691
[epoch 45] train_loss: 0.076  val_accuracy: 0.693
[epoch 46] train_loss: 0.078  val_accuracy: 0.687
[epoch 47] train_loss: 0.076  val_accuracy: 0.693
[epoch 48] train_loss: 0.072  val_accuracy: 0.688
[epoch 49] train_loss: 0.076  val_accuracy: 0.696
[epoch 50] train_loss: 0.069  val_accuracy: 0.688
[epoch 51] train_loss: 0.070  val_accuracy: 0.690
[epoch 52] train_loss: 0.067  val_accuracy: 0.687
[epoch 53] train_loss: 0.067  val_accuracy: 0.684
[epoch 54] train_loss: 0.065  val_accuracy: 0.691
[epoch 55] train_loss: 0.063  val_accuracy: 0.696
[epoch 56] train_loss: 0.063  val_accuracy: 0.695
[epoch 57] train_loss: 0.060  val_accuracy: 0.686
[epoch 58] train_loss: 0.060  val_accuracy: 0.698
[epoch 59] train_loss: 0.059  val_accuracy: 0.693
[epoch 60] train_loss: 0.062  val_accuracy: 0.699
[epoch 61] train_loss: 0.058  val_accuracy: 0.694
[epoch 62] train_loss: 0.057  val_accuracy: 0.701
[epoch 63] train_loss: 0.054  val_accuracy: 0.698
[epoch 64] train_loss: 0.053  val_accuracy: 0.697
[epoch 65] train_loss: 0.054  val_accuracy: 0.699
[epoch 66] train_loss: 0.052  val_accuracy: 0.697
[epoch 67] train_loss: 0.052  val_accuracy: 0.694
[epoch 68] train_loss: 0.052  val_accuracy: 0.699
[epoch 69] train_loss: 0.050  val_accuracy: 0.699
[epoch 70] train_loss: 0.051  val_accuracy: 0.700
[epoch 71] train_loss: 0.052  val_accuracy: 0.700
[epoch 72] train_loss: 0.048  val_accuracy: 0.698
[epoch 73] train_loss: 0.048  val_accuracy: 0.702
[epoch 74] train_loss: 0.045  val_accuracy: 0.703
[epoch 75] train_loss: 0.047  val_accuracy: 0.701
[epoch 76] train_loss: 0.046  val_accuracy: 0.706
[epoch 77] train_loss: 0.045  val_accuracy: 0.698
[epoch 78] train_loss: 0.045  val_accuracy: 0.703
[epoch 79] train_loss: 0.045  val_accuracy: 0.709
[epoch 80] train_loss: 0.041  val_accuracy: 0.695
[epoch 81] train_loss: 0.043  val_accuracy: 0.703
[epoch 82] train_loss: 0.044  val_accuracy: 0.709
[epoch 83] train_loss: 0.040  val_accuracy: 0.701
[epoch 84] train_loss: 0.039  val_accuracy: 0.697
[epoch 85] train_loss: 0.043  val_accuracy: 0.698
[epoch 86] train_loss: 0.041  val_accuracy: 0.697
[epoch 87] train_loss: 0.039  val_accuracy: 0.699
[epoch 88] train_loss: 0.040  val_accuracy: 0.699
[epoch 89] train_loss: 0.040  val_accuracy: 0.699
[epoch 90] train_loss: 0.038  val_accuracy: 0.705
[epoch 91] train_loss: 0.037  val_accuracy: 0.709
[epoch 92] train_loss: 0.037  val_accuracy: 0.706
[epoch 93] train_loss: 0.037  val_accuracy: 0.705
[epoch 94] train_loss: 0.038  val_accuracy: 0.700
[epoch 95] train_loss: 0.036  val_accuracy: 0.703
[epoch 96] train_loss: 0.037  val_accuracy: 0.706
