[epoch 1] train_loss: 3.702  val_accuracy: 0.218
[epoch 2] train_loss: 3.082  val_accuracy: 0.270
[epoch 3] train_loss: 2.775  val_accuracy: 0.290
[epoch 4] train_loss: 2.532  val_accuracy: 0.315
[epoch 5] train_loss: 2.300  val_accuracy: 0.327
[epoch 6] train_loss: 2.081  val_accuracy: 0.348
[epoch 7] train_loss: 1.865  val_accuracy: 0.345
[epoch 8] train_loss: 1.654  val_accuracy: 0.359
[epoch 9] train_loss: 1.446  val_accuracy: 0.358
[epoch 10] train_loss: 1.253  val_accuracy: 0.356
[epoch 11] train_loss: 1.074  val_accuracy: 0.355
[epoch 12] train_loss: 0.917  val_accuracy: 0.362
[epoch 13] train_loss: 0.785  val_accuracy: 0.354
[epoch 14] train_loss: 0.680  val_accuracy: 0.354
[epoch 15] train_loss: 0.590  val_accuracy: 0.352
[epoch 16] train_loss: 0.514  val_accuracy: 0.362
[epoch 17] train_loss: 0.464  val_accuracy: 0.356
[epoch 18] train_loss: 0.410  val_accuracy: 0.360
[epoch 19] train_loss: 0.393  val_accuracy: 0.362
[epoch 20] train_loss: 0.350  val_accuracy: 0.356
[epoch 21] train_loss: 0.320  val_accuracy: 0.359
[epoch 22] train_loss: 0.314  val_accuracy: 0.357
[epoch 23] train_loss: 0.286  val_accuracy: 0.364
[epoch 24] train_loss: 0.279  val_accuracy: 0.364
[epoch 25] train_loss: 0.262  val_accuracy: 0.367
[epoch 26] train_loss: 0.251  val_accuracy: 0.362
[epoch 27] train_loss: 0.237  val_accuracy: 0.359
[epoch 28] train_loss: 0.226  val_accuracy: 0.369
[epoch 29] train_loss: 0.227  val_accuracy: 0.369
[epoch 30] train_loss: 0.210  val_accuracy: 0.370
[epoch 31] train_loss: 0.214  val_accuracy: 0.364
[epoch 32] train_loss: 0.198  val_accuracy: 0.365
[epoch 33] train_loss: 0.197  val_accuracy: 0.367
[epoch 34] train_loss: 0.186  val_accuracy: 0.380
[epoch 35] train_loss: 0.180  val_accuracy: 0.367
[epoch 36] train_loss: 0.172  val_accuracy: 0.373
[epoch 37] train_loss: 0.167  val_accuracy: 0.365
[epoch 38] train_loss: 0.173  val_accuracy: 0.373
[epoch 39] train_loss: 0.167  val_accuracy: 0.375
[epoch 40] train_loss: 0.160  val_accuracy: 0.373
[epoch 41] train_loss: 0.157  val_accuracy: 0.370
[epoch 42] train_loss: 0.155  val_accuracy: 0.373
[epoch 43] train_loss: 0.151  val_accuracy: 0.374
[epoch 44] train_loss: 0.157  val_accuracy: 0.376
[epoch 45] train_loss: 0.142  val_accuracy: 0.375
[epoch 46] train_loss: 0.146  val_accuracy: 0.371
[epoch 47] train_loss: 0.141  val_accuracy: 0.371
[epoch 48] train_loss: 0.141  val_accuracy: 0.373
[epoch 49] train_loss: 0.140  val_accuracy: 0.387
[epoch 50] train_loss: 0.132  val_accuracy: 0.377
[epoch 51] train_loss: 0.132  val_accuracy: 0.378
[epoch 52] train_loss: 0.132  val_accuracy: 0.378
[epoch 53] train_loss: 0.127  val_accuracy: 0.375
[epoch 54] train_loss: 0.127  val_accuracy: 0.378
[epoch 55] train_loss: 0.125  val_accuracy: 0.372
[epoch 56] train_loss: 0.126  val_accuracy: 0.374
[epoch 57] train_loss: 0.118  val_accuracy: 0.371
[epoch 58] train_loss: 0.121  val_accuracy: 0.371
[epoch 59] train_loss: 0.120  val_accuracy: 0.381
[epoch 60] train_loss: 0.122  val_accuracy: 0.376
[epoch 61] train_loss: 0.109  val_accuracy: 0.375
[epoch 62] train_loss: 0.112  val_accuracy: 0.381
[epoch 63] train_loss: 0.115  val_accuracy: 0.374
[epoch 64] train_loss: 0.102  val_accuracy: 0.377
[epoch 65] train_loss: 0.108  val_accuracy: 0.381
[epoch 66] train_loss: 0.104  val_accuracy: 0.376
[epoch 67] train_loss: 0.105  val_accuracy: 0.377
[epoch 68] train_loss: 0.102  val_accuracy: 0.377
[epoch 69] train_loss: 0.104  val_accuracy: 0.386
[epoch 70] train_loss: 0.100  val_accuracy: 0.382
[epoch 71] train_loss: 0.102  val_accuracy: 0.375
[epoch 72] train_loss: 0.095  val_accuracy: 0.381
[epoch 73] train_loss: 0.103  val_accuracy: 0.386
[epoch 74] train_loss: 0.093  val_accuracy: 0.381
[epoch 75] train_loss: 0.097  val_accuracy: 0.380
[epoch 76] train_loss: 0.095  val_accuracy: 0.383
[epoch 77] train_loss: 0.093  val_accuracy: 0.379
[epoch 78] train_loss: 0.087  val_accuracy: 0.384
[epoch 79] train_loss: 0.099  val_accuracy: 0.385
[epoch 80] train_loss: 0.096  val_accuracy: 0.386
[epoch 81] train_loss: 0.089  val_accuracy: 0.379
[epoch 82] train_loss: 0.094  val_accuracy: 0.382
[epoch 83] train_loss: 0.092  val_accuracy: 0.383
[epoch 84] train_loss: 0.085  val_accuracy: 0.378
[epoch 85] train_loss: 0.086  val_accuracy: 0.383
[epoch 86] train_loss: 0.092  val_accuracy: 0.384
[epoch 87] train_loss: 0.087  val_accuracy: 0.383
[epoch 88] train_loss: 0.088  val_accuracy: 0.384
[epoch 89] train_loss: 0.087  val_accuracy: 0.384
[epoch 90] train_loss: 0.084  val_accuracy: 0.382
[epoch 91] train_loss: 0.083  val_accuracy: 0.385
[epoch 92] train_loss: 0.082  val_accuracy: 0.380
[epoch 93] train_loss: 0.083  val_accuracy: 0.380
[epoch 94] train_loss: 0.085  val_accuracy: 0.383
[epoch 95] train_loss: 0.080  val_accuracy: 0.390
[epoch 96] train_loss: 0.083  val_accuracy: 0.384
[epoch 97] train_loss: 0.075  val_accuracy: 0.386
[epoch 98] train_loss: 0.086  val_accuracy: 0.380
[epoch 99] train_loss: 0.083  val_accuracy: 0.381
[epoch 100] train_loss: 0.081  val_accuracy: 0.386
[epoch 101] train_loss: 0.076  val_accuracy: 0.393
[epoch 102] train_loss: 0.078  val_accuracy: 0.386
[epoch 103] train_loss: 0.079  val_accuracy: 0.386
[epoch 104] train_loss: 0.077  val_accuracy: 0.388
[epoch 105] train_loss: 0.075  val_accuracy: 0.387
[epoch 106] train_loss: 0.074  val_accuracy: 0.381
[epoch 107] train_loss: 0.071  val_accuracy: 0.388
[epoch 108] train_loss: 0.075  val_accuracy: 0.387
[epoch 109] train_loss: 0.070  val_accuracy: 0.386
[epoch 110] train_loss: 0.075  val_accuracy: 0.383
[epoch 111] train_loss: 0.071  val_accuracy: 0.387
[epoch 112] train_loss: 0.073  val_accuracy: 0.389
[epoch 113] train_loss: 0.068  val_accuracy: 0.390
[epoch 114] train_loss: 0.069  val_accuracy: 0.386
[epoch 115] train_loss: 0.067  val_accuracy: 0.390
[epoch 116] train_loss: 0.072  val_accuracy: 0.387
[epoch 117] train_loss: 0.073  val_accuracy: 0.388
[epoch 118] train_loss: 0.066  val_accuracy: 0.398
[epoch 119] train_loss: 0.071  val_accuracy: 0.392
[epoch 120] train_loss: 0.072  val_accuracy: 0.395
[epoch 121] train_loss: 0.066  val_accuracy: 0.388
[epoch 122] train_loss: 0.069  val_accuracy: 0.388
[epoch 123] train_loss: 0.069  val_accuracy: 0.387
[epoch 124] train_loss: 0.064  val_accuracy: 0.391
[epoch 125] train_loss: 0.071  val_accuracy: 0.386
[epoch 126] train_loss: 0.062  val_accuracy: 0.391
[epoch 127] train_loss: 0.065  val_accuracy: 0.396
[epoch 128] train_loss: 0.067  val_accuracy: 0.391
[epoch 129] train_loss: 0.068  val_accuracy: 0.390
[epoch 130] train_loss: 0.065  val_accuracy: 0.389
[epoch 131] train_loss: 0.067  val_accuracy: 0.394
[epoch 132] train_loss: 0.056  val_accuracy: 0.387
[epoch 133] train_loss: 0.070  val_accuracy: 0.386
[epoch 134] train_loss: 0.064  val_accuracy: 0.389
[epoch 135] train_loss: 0.068  val_accuracy: 0.387
[epoch 136] train_loss: 0.063  val_accuracy: 0.380
[epoch 137] train_loss: 0.063  val_accuracy: 0.399
[epoch 138] train_loss: 0.060  val_accuracy: 0.392
[epoch 139] train_loss: 0.065  val_accuracy: 0.396
[epoch 140] train_loss: 0.064  val_accuracy: 0.394
[epoch 141] train_loss: 0.064  val_accuracy: 0.385
[epoch 142] train_loss: 0.058  val_accuracy: 0.392
[epoch 143] train_loss: 0.065  val_accuracy: 0.392
[epoch 144] train_loss: 0.061  val_accuracy: 0.396
[epoch 145] train_loss: 0.064  val_accuracy: 0.389
[epoch 146] train_loss: 0.064  val_accuracy: 0.398
[epoch 147] train_loss: 0.059  val_accuracy: 0.399
[epoch 148] train_loss: 0.056  val_accuracy: 0.398
[epoch 149] train_loss: 0.059  val_accuracy: 0.393
[epoch 150] train_loss: 0.059  val_accuracy: 0.386
[epoch 151] train_loss: 0.060  val_accuracy: 0.396
[epoch 152] train_loss: 0.057  val_accuracy: 0.400
[epoch 153] train_loss: 0.053  val_accuracy: 0.395
[epoch 154] train_loss: 0.065  val_accuracy: 0.396
[epoch 155] train_loss: 0.059  val_accuracy: 0.398
[epoch 156] train_loss: 0.056  val_accuracy: 0.392
[epoch 157] train_loss: 0.056  val_accuracy: 0.392
[epoch 158] train_loss: 0.054  val_accuracy: 0.389
[epoch 159] train_loss: 0.056  val_accuracy: 0.390
[epoch 160] train_loss: 0.054  val_accuracy: 0.395
[epoch 161] train_loss: 0.060  val_accuracy: 0.397
[epoch 162] train_loss: 0.051  val_accuracy: 0.393
[epoch 163] train_loss: 0.054  val_accuracy: 0.396
[epoch 164] train_loss: 0.059  val_accuracy: 0.400
[epoch 165] train_loss: 0.054  val_accuracy: 0.394
[epoch 166] train_loss: 0.058  val_accuracy: 0.394
[epoch 167] train_loss: 0.056  val_accuracy: 0.397
[epoch 168] train_loss: 0.055  val_accuracy: 0.391
[epoch 169] train_loss: 0.054  val_accuracy: 0.397
[epoch 170] train_loss: 0.057  val_accuracy: 0.395
[epoch 171] train_loss: 0.055  val_accuracy: 0.392
[epoch 172] train_loss: 0.052  val_accuracy: 0.391
[epoch 173] train_loss: 0.056  val_accuracy: 0.395
[epoch 174] train_loss: 0.055  val_accuracy: 0.390
[epoch 175] train_loss: 0.045  val_accuracy: 0.399
[epoch 176] train_loss: 0.055  val_accuracy: 0.399
[epoch 177] train_loss: 0.055  val_accuracy: 0.394
[epoch 178] train_loss: 0.053  val_accuracy: 0.400
[epoch 179] train_loss: 0.049  val_accuracy: 0.391
[epoch 180] train_loss: 0.056  val_accuracy: 0.390
[epoch 181] train_loss: 0.050  val_accuracy: 0.391
[epoch 182] train_loss: 0.061  val_accuracy: 0.397
[epoch 183] train_loss: 0.050  val_accuracy: 0.396
[epoch 184] train_loss: 0.049  val_accuracy: 0.400
[epoch 185] train_loss: 0.054  val_accuracy: 0.399
[epoch 186] train_loss: 0.051  val_accuracy: 0.400
[epoch 187] train_loss: 0.055  val_accuracy: 0.395
[epoch 188] train_loss: 0.053  val_accuracy: 0.401
[epoch 189] train_loss: 0.052  val_accuracy: 0.401
[epoch 190] train_loss: 0.053  val_accuracy: 0.396
[epoch 191] train_loss: 0.049  val_accuracy: 0.393
[epoch 192] train_loss: 0.054  val_accuracy: 0.397
[epoch 193] train_loss: 0.046  val_accuracy: 0.402
[epoch 194] train_loss: 0.051  val_accuracy: 0.388
[epoch 195] train_loss: 0.054  val_accuracy: 0.402
[epoch 196] train_loss: 0.049  val_accuracy: 0.400
[epoch 197] train_loss: 0.046  val_accuracy: 0.403
[epoch 198] train_loss: 0.053  val_accuracy: 0.403
[epoch 199] train_loss: 0.047  val_accuracy: 0.401
[epoch 200] train_loss: 0.050  val_accuracy: 0.396
