[epoch 1] train_loss: 1.621  val_accuracy: 0.502
[epoch 2] train_loss: 1.305  val_accuracy: 0.543
[epoch 3] train_loss: 1.147  val_accuracy: 0.581
[epoch 4] train_loss: 1.028  val_accuracy: 0.614
[epoch 5] train_loss: 0.920  val_accuracy: 0.635
[epoch 6] train_loss: 0.822  val_accuracy: 0.632
[epoch 7] train_loss: 0.737  val_accuracy: 0.638
[epoch 8] train_loss: 0.651  val_accuracy: 0.647
[epoch 9] train_loss: 0.575  val_accuracy: 0.648
[epoch 10] train_loss: 0.510  val_accuracy: 0.664
[epoch 11] train_loss: 0.452  val_accuracy: 0.655
[epoch 12] train_loss: 0.397  val_accuracy: 0.657
[epoch 13] train_loss: 0.351  val_accuracy: 0.663
[epoch 14] train_loss: 0.314  val_accuracy: 0.666
[epoch 15] train_loss: 0.281  val_accuracy: 0.657
[epoch 16] train_loss: 0.260  val_accuracy: 0.663
[epoch 17] train_loss: 0.236  val_accuracy: 0.669
[epoch 18] train_loss: 0.216  val_accuracy: 0.667
[epoch 19] train_loss: 0.203  val_accuracy: 0.664
[epoch 20] train_loss: 0.187  val_accuracy: 0.662
[epoch 21] train_loss: 0.175  val_accuracy: 0.667
[epoch 22] train_loss: 0.166  val_accuracy: 0.665
[epoch 23] train_loss: 0.160  val_accuracy: 0.675
[epoch 24] train_loss: 0.149  val_accuracy: 0.679
[epoch 25] train_loss: 0.143  val_accuracy: 0.664
[epoch 26] train_loss: 0.139  val_accuracy: 0.680
[epoch 27] train_loss: 0.131  val_accuracy: 0.671
[epoch 28] train_loss: 0.125  val_accuracy: 0.678
[epoch 29] train_loss: 0.123  val_accuracy: 0.673
[epoch 30] train_loss: 0.115  val_accuracy: 0.670
[epoch 31] train_loss: 0.116  val_accuracy: 0.683
[epoch 32] train_loss: 0.110  val_accuracy: 0.671
[epoch 33] train_loss: 0.104  val_accuracy: 0.664
[epoch 34] train_loss: 0.104  val_accuracy: 0.682
[epoch 35] train_loss: 0.102  val_accuracy: 0.669
[epoch 36] train_loss: 0.097  val_accuracy: 0.681
[epoch 37] train_loss: 0.096  val_accuracy: 0.685
[epoch 38] train_loss: 0.093  val_accuracy: 0.680
[epoch 39] train_loss: 0.087  val_accuracy: 0.682
[epoch 40] train_loss: 0.087  val_accuracy: 0.682
[epoch 41] train_loss: 0.084  val_accuracy: 0.682
[epoch 42] train_loss: 0.082  val_accuracy: 0.684
[epoch 43] train_loss: 0.083  val_accuracy: 0.679
[epoch 44] train_loss: 0.079  val_accuracy: 0.678
[epoch 45] train_loss: 0.079  val_accuracy: 0.690
[epoch 46] train_loss: 0.073  val_accuracy: 0.691
[epoch 47] train_loss: 0.072  val_accuracy: 0.679
[epoch 48] train_loss: 0.072  val_accuracy: 0.679
[epoch 49] train_loss: 0.072  val_accuracy: 0.681
[epoch 50] train_loss: 0.067  val_accuracy: 0.681
[epoch 51] train_loss: 0.070  val_accuracy: 0.679
[epoch 52] train_loss: 0.069  val_accuracy: 0.683
[epoch 53] train_loss: 0.060  val_accuracy: 0.687
[epoch 54] train_loss: 0.064  val_accuracy: 0.686
[epoch 55] train_loss: 0.063  val_accuracy: 0.698
[epoch 56] train_loss: 0.061  val_accuracy: 0.681
[epoch 57] train_loss: 0.061  val_accuracy: 0.689
[epoch 58] train_loss: 0.064  val_accuracy: 0.690
[epoch 59] train_loss: 0.057  val_accuracy: 0.690
[epoch 60] train_loss: 0.057  val_accuracy: 0.687
[epoch 61] train_loss: 0.057  val_accuracy: 0.688
[epoch 62] train_loss: 0.054  val_accuracy: 0.691
[epoch 63] train_loss: 0.057  val_accuracy: 0.693
[epoch 64] train_loss: 0.051  val_accuracy: 0.696
[epoch 65] train_loss: 0.054  val_accuracy: 0.693
[epoch 66] train_loss: 0.050  val_accuracy: 0.692
[epoch 67] train_loss: 0.055  val_accuracy: 0.700
[epoch 68] train_loss: 0.050  val_accuracy: 0.698
[epoch 69] train_loss: 0.047  val_accuracy: 0.703
[epoch 70] train_loss: 0.051  val_accuracy: 0.695
[epoch 71] train_loss: 0.050  val_accuracy: 0.695
[epoch 72] train_loss: 0.046  val_accuracy: 0.705
[epoch 73] train_loss: 0.047  val_accuracy: 0.687
[epoch 74] train_loss: 0.049  val_accuracy: 0.695
[epoch 75] train_loss: 0.046  val_accuracy: 0.703
[epoch 76] train_loss: 0.044  val_accuracy: 0.697
[epoch 77] train_loss: 0.044  val_accuracy: 0.694
